lost	top1_known	score	top10
aidaj	poʈʈ-	-12.1407	"[[""poʈʈ-"", -12.1407], [""patʃ-"", -12.2067], [""jaɳʈ-"", -12.6278], [""putʃ"", -12.8608], [""peːtʃ-"", -13.805], [""paːʈa-"", -13.8891], [""poːr"", -13.9333], [""piːr"", -13.9333], [""piː"", -14.1876], [""jaː-"", -14.2121]]"
aidaja	poʈʈ-	-14.7207	"[[""poʈʈ-"", -14.7207], [""patʃ-"", -15.0127], [""putʃ"", -15.1594], [""jaɳʈ-"", -15.4352], [""peʈʈi"", -16.1143], [""paːʈa-"", -16.3068], [""aɳʈʈ"", -16.3106], [""peːtʃ-"", -16.5936], [""paːʈu"", -16.9746], [""jaː-"", -16.9778]]"
aidajas	poʈʈ-	-15.5955	"[[""poʈʈ-"", -15.5955], [""patʃ-"", -17.5543], [""jaɳʈ-"", -18.0332], [""pitʃtʃ-"", -18.2554], [""putʃ"", -18.6652], [""peːtʃ-"", -18.9306], [""peʈʈi"", -18.9777], [""paːʈa-"", -18.9794], [""aɳʈʈ-"", -19.1379], [""tʃuːʈ-"", -19.6271]]"
aij	poːr	-6.9651	"[[""poːr"", -6.9651], [""piːr"", -6.9651], [""pan̪"", -7.6556], [""pin̪"", -7.6556], [""pot̪"", -7.6556], [""piː"", -8.3337], [""paɳ-"", -8.703], [""pera-"", -8.9679], [""oj-"", -9.1314], [""ir-"", -9.1314]]"
aija	putʃ	-9.3567	"[[""putʃ"", -9.3567], [""piːr"", -10.4546], [""poːr"", -10.4546], [""pot̪"", -11.1461], [""pin̪"", -11.1461], [""pan̪"", -11.1461], [""piː"", -11.2083], [""paɳ-"", -11.5133], [""pera-"", -11.674], [""paːʈa-"", -11.6802]]"
ain	poːr	-6.9651	"[[""poːr"", -6.9651], [""piːr"", -6.9651], [""pan̪"", -7.6556], [""pin̪"", -7.6556], [""pot̪"", -7.6556], [""piː"", -8.3337], [""paɳ-"", -8.703], [""pera-"", -8.9679], [""oj-"", -9.1314], [""ir-"", -9.1314]]"
aina	putʃ	-9.3567	"[[""putʃ"", -9.3567], [""piːr"", -10.4546], [""poːr"", -10.4546], [""pot̪"", -11.1461], [""pin̪"", -11.1461], [""pan̪"", -11.1461], [""piː"", -11.2083], [""paɳ-"", -11.5133], [""pera-"", -11.674], [""paːʈa-"", -11.6802]]"
ainaj	poʈʈ-	-12.1407	"[[""poʈʈ-"", -12.1407], [""patʃ-"", -12.2067], [""jaɳʈ-"", -12.6278], [""putʃ"", -12.8608], [""peːtʃ-"", -13.805], [""paːʈa-"", -13.8891], [""poːr"", -13.9333], [""piːr"", -13.9333], [""piː"", -14.1876], [""jaː-"", -14.2121]]"
ainaja	poʈʈ-	-14.7207	"[[""poʈʈ-"", -14.7207], [""patʃ-"", -15.0127], [""putʃ"", -15.1594], [""jaɳʈ-"", -15.4352], [""peʈʈi"", -16.1143], [""paːʈa-"", -16.3068], [""aɳʈʈ"", -16.3106], [""peːtʃ-"", -16.5936], [""paːʈu"", -16.9746], [""jaː-"", -16.9778]]"
ainajar	poʈʈ-	-15.5955	"[[""poʈʈ-"", -15.5955], [""patʃ-"", -17.5543], [""jaːh"", -17.8271], [""jaɳʈ-"", -18.0332], [""pitʃtʃ-"", -18.2554], [""putʃ"", -18.6652], [""puh"", -18.6848], [""peːtʃ-"", -18.9306], [""peʈʈi"", -18.9777], [""paːʈa-"", -18.9794]]"
ainajare	poʈʈ-	-18.4456	"[[""poʈʈ-"", -18.4456], [""patʃ-"", -20.5794], [""jaɳʈ-"", -21.0721], [""pitʃtʃ-"", -21.0997], [""jaːh"", -21.3332], [""paːʈa-"", -21.8723], [""peːtʃ-"", -21.9049], [""aɳʈʈ-"", -21.9743], [""peʈʈi"", -22.0959], [""putʃ"", -22.1705]]"
ainajaret	peʈʈi	-19.8036	"[[""peʈʈi"", -19.8036], [""poʈʈ-"", -21.5593], [""appa"", -22.7103], [""patʃ-"", -23.7598], [""paːʈa-"", -23.9442], [""puʈala"", -24.0897], [""pitʃtʃ-"", -24.1976], [""jaɳʈ-"", -24.2602], [""palatʃa"", -24.6875], [""tʃukka"", -24.7224]]"
ainajareta	peʈʈi	-23.2806	"[[""peʈʈi"", -23.2806], [""paːʈa-"", -23.7649], [""kaʈ"", -24.5437], [""poʈʈ-"", -24.7717], [""putʃa-"", -25.0132], [""appa"", -26.2108], [""piː"", -26.288], [""pera-"", -26.8753], [""patʃ-"", -26.9246], [""pitʃtʃ-"", -27.3714]]"
ainw	poːr	-10.4563	"[[""poːr"", -10.4563], [""piːr"", -10.4563], [""pan̪"", -11.1495], [""pin̪"", -11.1495], [""pot̪"", -11.1495], [""piː"", -11.2714], [""paɳ-"", -11.5182], [""pera-"", -11.6771], [""jaː-"", -11.6955], [""jAm"", -11.8578]]"
ainwa	putʃ	-12.5618	"[[""putʃ"", -12.5618], [""piːr"", -13.9381], [""poːr"", -13.9381], [""jaː-"", -14.2121], [""piː"", -14.2952], [""paɳ-"", -14.5079], [""paːʈa-"", -14.5712], [""pera-"", -14.6049], [""pot̪"", -14.6366], [""pan̪"", -14.6366]]"
ainwaz	paːl	-14.291	"[[""paːl"", -14.291], [""poʈʈ-"", -15.3463], [""patʃ-"", -15.3868], [""pal"", -15.6795], [""pul"", -15.6795], [""jaɳʈ-"", -15.7131], [""pitʃtʃ-"", -15.8439], [""patʃal"", -15.8937], [""putʃ"", -16.025], [""pin̪"", -16.1537]]"
ainwaza	putʃ	-15.6576	"[[""putʃ"", -15.6576], [""pitʃtʃ-"", -15.9395], [""pin̪tʃtʃar"", -16.8052], [""peːtʃ-"", -17.5294], [""paːl"", -17.7967], [""patʃ-"", -17.8778], [""poʈʈ-"", -17.9344], [""piɻatʃtʃ-"", -18.431], [""jaɳʈ-"", -18.5247], [""patʃal"", -18.5654]]"
ainwazaΦ	pitʃtʃ-	-15.4112	"[[""pitʃtʃ-"", -15.4112], [""peːtʃ-"", -17.141], [""piɻatʃtʃ-"", -17.9022], [""patʃ-"", -18.4754], [""poʈʈ-"", -18.8234], [""putʃ"", -19.1647], [""pin̪tʃtʃar"", -19.6013], [""putatʃ-"", -20.1653], [""kutʃtʃ-"", -20.6422], [""patʃat-"", -21.0348]]"
