linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-*301-wa-ja-ja-i	iΘwajajai	nu	-24.5441	nu (-24.54); otxo (-25.84); oqar (-26.34)	9
i-*301-wa-ja-ja-i-n	iΘwajajain	nu	-28.0513	nu (-28.05); otxo (-29.35); oqar (-29.85)	10
i-*301-wa-ja-ja-j	iΘwajajaj	oqar	-25.7463	oqar (-25.75); opl (-25.80); qaml (-26.67)	9
i-*301-wa-ja-ja-ja	iΘwajajaja	oqar	-29.2525	oqar (-29.25); opl (-29.30); qaml (-30.18)	10
i-*301-wa-ja-ja-s	iΘwajajas	oqar	-26.3449	oqar (-26.34); opl (-26.36); jor (-27.47)	9
i-*301-wa-ja-ja-sa	iΘwajajasa	oqar	-29.8495	oqar (-29.85); opl (-29.86); jor (-30.96)	10
i-*301-wa-ja-s	iΘwajas	opl	-20.2144	opl (-20.21); oqar (-20.25); jor (-21.52)	7
i-*301-wa-ja-se	iΘwajase	opl	-23.7064	opl (-23.71); oqar (-23.75); zard (-24.41)	8
i-*301-wa-ja-se-k	iΘwajasek	matʼl	-25.8239	matʼl (-25.82); zr (-25.91); dn (-25.91)	9
i-*301-wa-ja-se-ka	iΘwajaseka	matʼl	-29.3298	matʼl (-29.33); zm (-29.42); zr (-29.42)	10
i-*301-wa-ja-t	iΘwajat	opl	-20.2144	opl (-20.21); oqar (-20.25); rum (-21.52)	7
i-*301-wa-ja-tu	iΘwajatu	numa	-21.5189	numa (-21.52); zura (-21.60); ma (-21.72)	8
i-*301-wa-ja-tu-r	iΘwajatur	lad	-22.4129	lad (-22.41); mad (-22.41); nad (-22.41)	9
i-*301-wa-ja-tu-ru	iΘwajaturu	ode	-25.2106	ode (-25.21); mze (-25.91); lad (-25.92)	10
ja-a-di	jaadi	nu	-11.2039	nu (-11.20); rɡ (-11.21); lumb (-13.27)	5
ja-a-di-k	jaadik	ɡor	-11.2074	ɡor (-11.21); ɡul (-11.21); bur (-11.21)	6
ja-a-di-ki	jaadiki	ɡor	-14.7119	ɡor (-14.71); bun (-14.71); ɡul (-14.71)	7
ja-a-di-ki-t	jaadikit	bur	-18.2164	bur (-18.22); bun (-18.22); ɡor (-18.22)	8
ja-a-di-ki-te	jaadikite	bur	-21.7209	bur (-21.72); bun (-21.72); ɡor (-21.72)	9
ja-a-di-ki-te-s	jaadikites	bur	-25.2254	bur (-25.23); ɡul (-25.23); bun (-25.23)	10
ja-a-ja	jaaja	mol	-14.1227	mol (-14.12); rum (-14.12); nen (-14.12)	5
ja-di-k	jadik	ɡul	-7.7002	ɡul (-7.70); bur (-7.70); ɡor (-7.70)	5
ja-di-ki	jadiki	ɡul	-11.2047	ɡul (-11.20); ɡor (-11.20); bun (-11.20)	6
ja-di-ki-t	jadikit	ɡul	-14.7092	ɡul (-14.71); bur (-14.71); bun (-14.71)	7
ja-di-ki-tu	jadikitu	numa	-15.3889	numa (-15.39); ɡul (-18.21); bun (-18.21)	8
ja-di-ki-tu-j	jadikituj	numa	-18.8934	numa (-18.89); bun (-20.63); ɡul (-20.63)	9
ja-di-ki-tu-ja	jadikituja	numa	-22.3978	numa (-22.40); ɡul (-24.14); ɡor (-24.14)	10
ja-i-n-w	jainw	nu	-11.2074	nu (-11.21); lumb (-13.55); numa (-13.55)	5
ja-i-nwa	jainwa	nu	-14.7146	nu (-14.71); numa (-16.76); lumb (-16.76)	6
ja-i-nwa-z	jainwaz	nu	-18.2217	nu (-18.22); numa (-20.03); lumb (-20.03)	7
ja-i-nwa-za	jainwaza	nu	-21.7289	nu (-21.73); numa (-23.34); lumb (-23.34)	8
ja-i-nwa-za-*56	jainwazaΦ	nu	-25.2361	nu (-25.24); mos (-25.44); lokʼ (-26.27)	9
ja-i-nwa-za-*56-n	jainwazaΦn	nu	-28.7433	nu (-28.74); mos (-28.91); lokʼ (-29.42)	10
ja-ja-a	jajaa	lam	-14.443	lam (-14.44); rum (-14.44); men (-14.44)	5
ja-ja-d	jajad	rɡ	-10.5162	rɡ (-10.52); lumb (-10.98); laɡ (-12.85)	5
ja-ja-di	jajadi	nu	-14.0225	nu (-14.02); rɡ (-14.02); lumb (-14.44)	6
