linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
ja-ta-i	jatai	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=l̩ (-15.51)	5
ja-ta-i-*301	jataiΘ	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=l̩ (-18.34)	6
ja-ta-i-*301-u	jataiΘu	†=ð	-17.0529	†=ð (-17.05); γίσσα (-18.13); γέl̩α (-20.59)	7
ja-ta-i-*301-u-j	jataiΘuj	†=ð	-20.5592	†=ð (-20.56); γίσσα (-20.71); βάνðα (-22.35)	8
ja-ta-i-*301-u-ja	jataiΘuja	γίσσα	-23.4428	γίσσα (-23.44); †=ð (-24.06); βάνðα (-25.18)	9
ja-tu-r	jatur	†=ð	-11.6186	†=ð (-11.62); γίσσα (-13.74); βάνðα (-13.84)	5
ja-tu-ru	jaturu	†=ð	-13.6805	†=ð (-13.68); γίσσα (-15.76); βάνðα (-16.63)	6
ja-tu-ru-s	jaturus	†=ð	-17.1869	†=ð (-17.19); γίσσα (-18.13); βάνðα (-18.86)	7
ja-tu-ru-sa	jaturusa	†=ð	-20.6929	†=ð (-20.69); γίσσα (-20.71); †σωðαρ- (-21.22)	8
ja-tu-ru-sa-i	jaturusai	γίσσα	-23.4428	γίσσα (-23.44); †σωðαρ- (-23.59); †=ð (-24.20)	9
ja-tu-ru-sa-i-d	jaturusaid	†σωðαρ-	-26.2018	†σωðαρ- (-26.20); γίσσα (-26.28); †=n / ɲ (-26.73)	10
ja-wa-*56	jawaΦ	jsm	-13.5994	jsm (-13.60); γίσσα (-13.74); †=km (-14.50)	5
ka-na-s	kanas	γίσσα	-13.742	γίσσα (-13.74); ἄl̩α (-14.19); γέl̩α (-15.25)	5
ka-na-si	kanasi	γίσσα	-15.7621	γίσσα (-15.76); ἄl̩α (-17.14); γέl̩α (-17.83)	6
ka-na-si-s	kanasis	γίσσα	-18.1288	γίσσα (-18.13); ἄl̩α (-20.19); γέl̩α (-20.56)	7
ka-na-si-si	kanasisi	γίσσα	-20.7122	γίσσα (-20.71); ἄl̩α (-23.30); γέl̩α (-23.40)	8
ka-na-si-si-r	kanasisir	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-25.94); †σωðαρ- (-26.30)	9
ke-ta-n	ketan	lrTɲ	-12.317	lrTɲ (-12.32); γίσσα (-13.74); ἄl̩α (-14.19)	5
ke-ta-na	ketana	lrTɲ	-15.4055	lrTɲ (-15.41); γίσσα (-15.76); ἄl̩α (-17.14)	6
ke-ta-na-i	ketanai	γίσσα	-18.1288	γίσσα (-18.13); lrTɲ (-18.56); βάνðα (-20.09)	7
ke-ta-na-i-*301	ketanaiΘ	γίσσα	-20.7122	γίσσα (-20.71); lrTɲ (-21.77); aɲ (?) (-22.91)	8
ke-ta-na-i-*301-t	ketanaiΘt	γίσσα	-23.4428	γίσσα (-23.44); lrTɲ (-25.02); aɲ (?) (-25.62)	9
ke-ta-na-i-*301-ti	ketanaiΘti	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); lrTɲ (-28.30)	10
ki-te-s	kites	lrTɲ	-12.5594	lrTɲ (-12.56); ml̩n (-13.73); γίσσα (-13.74)	5
ki-te-si	kitesi	lrTɲ	-15.7479	lrTɲ (-15.75); γίσσα (-15.76); ἄl̩α (-17.14)	6
ki-te-si-r	kitesir	γίσσα	-18.1288	γίσσα (-18.13); lrTɲ (-18.93); †=n / ɲ (-19.98)	7
ki-te-si-ra	kitesira	γίσσα	-20.7122	γίσσα (-20.71); lrTɲ (-22.14); †=n / ɲ (-22.37)	8
ki-te-t	kitet	lrTɲ	-12.5594	lrTɲ (-12.56); ml̩n (-13.73); γίσσα (-13.74)	5
ki-te-te	kitete	lrTɲ	-12.0091	lrTɲ (-12.01); †=n / ɲ (-15.46); γίσσα (-15.76)	6
