linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
*301-wa-ja-a-ja	Θwajaaja	kʷla-	-23.1059	kʷla- (-23.11); xb- (-23.80); xtt- (-23.98)	8
*301-wa-ja-j	Θwajaj	kʷla-	-17.3261	kʷla- (-17.33); xb- (-17.36); xɲt- (-17.63)	6
*301-wa-ja-ja	Θwajaja	kʷla-	-20.153	kʷla- (-20.15); xb- (-20.55); xtt- (-20.78)	7
*301-wa-ja-ja-a	Θwajajaa	kʷla-	-23.1059	kʷla- (-23.11); xb- (-23.80); xtt- (-23.98)	8
*301-wa-ja-ja-d	Θwajajad	kʷãn	-20.9742	kʷãn (-20.97); trus (-22.51); t͡seus (-22.85)	8
*301-wa-ja-ja-di	Θwajajadi	kʷãn	-24.4698	kʷãn (-24.47); tem-/m̃m- (-24.49); kʷexn͂n- (-24.74)	9
*301-wa-ja-ja-di-k	Θwajajadik	tem-/m̃m-	-27.0841	tem-/m̃m- (-27.08); kʷexn͂n- (-27.44); kʷãn (-27.96)	10
*301-wa-ja-ja-i	Θwajajai	kʷla-	-23.1059	kʷla- (-23.11); xb- (-23.80); xtt- (-23.98)	8
*301-wa-ja-ja-i-n	Θwajajain	kʷla-	-26.1445	kʷla- (-26.14); kʷa-(ti) (-26.95); xb- (-27.08)	9
*301-wa-ja-ja-i-n-w	Θwajajainw	kʷa-(ti)	-28.0351	kʷa-(ti) (-28.04); kʷas-(ti) (-28.55); kb-/tu- (-28.72)	10
*301-wa-ja-ja-j	Θwajajaj	kʷla-	-23.1059	kʷla- (-23.11); xb- (-23.80); xtt- (-23.98)	8
*301-wa-ja-ja-ja	Θwajajaja	kʷla-	-26.1445	kʷla- (-26.14); kʷa-(ti) (-26.95); xb- (-27.08)	9
*301-wa-ja-ja-s	Θwajajas	kʷla-	-23.1059	kʷla- (-23.11); xb- (-23.80); xtt- (-23.98)	8
*301-wa-ja-ja-sa	Θwajajasa	kʷla-	-26.1445	kʷla- (-26.14); kʷa-(ti) (-26.95); xb- (-27.08)	9
*301-wa-ja-ja-sa-s	Θwajajasas	kʷla-	-29.2456	kʷla- (-29.25); kʷa-(ti) (-29.69); kb-/tu- (-30.08)	10
*301-wa-ja-s	Θwajas	kʷla-	-17.3261	kʷla- (-17.33); xb- (-17.36); xɲt- (-17.63)	6
*301-wa-ja-se	Θwajase	=ti	-16.8638	=ti (-16.86); ti (-17.53); kiki (-19.01)	7
*301-wa-ja-se-k	Θwajasek	xi-	-20.3706	xi- (-20.37); ti- (-20.37); =ti (-20.37)	8
*301-wa-ja-se-ka	Θwajaseka	ti-	-23.201	ti- (-23.20); xi- (-23.20); xe/i- (-23.50)	9
*301-wa-ja-se-ka-n	Θwajasekan	win(i)-	-26.1067	win(i)- (-26.11); xal(i)- (-26.12); ti- (-26.31)	10
*301-wa-ja-t	Θwajat	=be	-13.3748	=be (-13.37); =pe (-13.37); =de (-13.37)	6
*301-wa-ja-tu	Θwajatu	xa-	-16.8692	xa- (-16.87); =de (-16.88); =be (-16.88)	7
*301-wa-ja-tu-r	Θwajatur	xa-	-19.6972	xa- (-19.70); =de (-20.39); =be (-20.39)	8
*301-wa-ja-tu-ru	Θwajaturu	xa-	-22.8039	xa- (-22.80); kʷla- (-23.51); eb(e) (-23.84)	9
*301-wa-ja-tu-ru-s	Θwajaturus	kʷa-(ti)	-26.0253	kʷa-(ti) (-26.03); xa- (-26.03); kʷla- (-26.72)	10
*56-e-tu-m	Φetum	iwe-	-12.5575	iwe- (-12.56); iða (-13.85); ije (-13.87)	5
*56-e-tu-me	Φetume	Piɡrẽi	-13.3343	Piɡrẽi (-13.33); ai (-14.02); γarãi (-14.63)	6
*56-e-tu-me-i	Φetumei	Piɡrẽi	-16.841	Piɡrẽi (-16.84); ai (-17.53); ẽne/i- (-17.61)	7
*56-e-tu-me-i-j	Φetumeij	ite(/i)-	-18.1578	ite(/i)- (-18.16); ipre(/i)- (-18.29); Piɡrẽi (-20.35)	8
*56-e-tu-me-i-ja	Φetumeija	ite(/i)-	-20.6125	ite(/i)- (-20.61); ipre(/i)- (-20.74); xike(/i)- (-23.37)	9
*56-e-tu-me-i-ja-s	Φetumeijas	ite(/i)-	-23.4399	ite(/i)- (-23.44); ipre(/i)- (-23.57); xike(/i)- (-26.20)	10
a-di-ki-te	adikite	nei	-14.033	nei (-14.03); γarãi (-16.11); trei (-16.77)	7
a-di-ki-te-te	adikitete	nei	-19.9469	nei (-19.95); γarãi (-21.06); Piɡrẽi (-21.65)	9
a-na-ti-*301-wa-ja	anatiΘwaja	ad-	-26.3133	ad- (-26.31); ax- (-26.31); Jaɲ (-26.31)	10
a-sa-sa-ra	asasara	=pe	-23.9944	=pe (-23.99); =be (-23.99); =ti (-23.99)	7
a-ta-i-*301-wa-e	ataiΘwae	ebi	-17.5393	ebi (-17.54); eti (-17.54); ẽti (-17.54)	8
a-ta-i-*301-wa-ja	ataiΘwaja	ax-	-22.8039	ax- (-22.80); ad- (-22.80); Jaɲ (-23.88)	9
da-ma-te	damate	nei	-10.5258	nei (-10.53); neni (-13.83); trei (-13.91)	6
da-se-ra-te	daserate	nei	-17.5232	nei (-17.52); Piɡrẽi (-18.15); si- (-19.01)	8
i-ja-re-di-ja	ijaredija	is-	-22.8097	is- (-22.81); tis- (-24.68); ux(i)- (-25.91)	9
i-na-i-da	inaida	=mẽ	-18.2489	=mẽ (-18.25); mɲn- (-18.67); is- (-18.69)	6
i-na-ja-re-ta	inajareta	Pubiele	-26.6546	Pubiele (-26.65); ux(i)- (-26.71); xe/i- (-26.74)	9
i-pi-na-ma	ipinama	=mẽ	-23.9944	=mẽ (-23.99); =pe (-23.99); =ti (-23.99)	7
ja-di-ki-tu	jadikitu	=mẽ	-19.7098	=mẽ (-19.71); mẽ (-21.05); ne (-21.05)	8
ja-i-nwa-za	jainwaza	kʷla-	-22.4469	kʷla- (-22.45); xla- (-23.09); kʷla (-23.10)	8
ja-sa-sa	jasasa	=be	-20.7824	=be (-20.78); =mẽ (-20.78); =de (-20.78)	6
ja-sa-sa-ra	jasasara	Jaɲ	-27.2426	Jaɲ (-27.24); =de (-27.24); =pe (-27.24)	8
ja-sa-sa-ra-ma	jasasarama	(†)pẽnẽ	-33.2542	(†)pẽnẽ (-33.25); ux(i)- (-33.33); kb-/tu- (-33.76)	10
ja-sa-sa-ra-me	jasasarame	=ti	-30.4999	=ti (-30.50); Puwẽi (-32.01); γarãi (-32.01)	10
ja-sa-u-na-ka-na-si	jasaunakanasi	=we / =uwe	-42.3623	=we / =uwe (-42.36); (†)pẽnẽ (-42.42); a(i)-(di) (-42.50)	13
ja-ta-i-*301-u-ja	jataiΘuja	ada-	-27.338	ada- (-27.34); kʷa-(ti) (-27.39); ite(/i)- (-27.60)	9
ja-wa-*56	jawaΦ	xb-	-14.5062	xb- (-14.51); xtt- (-14.81); xɲt- (-14.81)	5
pi-te-ri	piteri	ai	-14.0252	ai (-14.03); γarãi (-15.23); Puwẽi (-15.74)	6
re-i-ke	reike	=ti	-14.2498	=ti (-14.25); Piɡrẽi (-14.28); is- (-14.70)	5
ri-da-u	ridau	mɲn-	-14.8637	mɲn- (-14.86); nun͂- (-14.97); =mẽ (-15.03)	5
sa-ra-me	sarame	=ti	-17.5004	=ti (-17.50); ti (-19.22); si (-19.22)	6
sa-sa-ra-me	sasarame	=ti	-23.9332	=ti (-23.93); Puwẽi (-25.66); γarãi (-25.66)	8
se-ka-na-si	sekanasi	is-	-24.181	is- (-24.18); iwe- (-24.27); ite(/i)- (-24.35)	8
se-to-i-ja	setoija	iwe-	-18.8621	iwe- (-18.86); Piɲteusi (-18.90); eru- (-19.11)	7
si-ru-te	sirute	ai	-14.0252	ai (-14.03); γarãi (-14.19); Puwẽi (-14.53)	6
ta-na-i-*301-ti	tanaiΘti	eb(e)	-20.3513	eb(e) (-20.35); ada- (-21.94); ãxra- (-21.98)	8
ta-na-i-*301-u-ti-nu	tanaiΘutinu	eb(e)	-29.483	eb(e) (-29.48); ebi(je)- (-31.09); ẽmi(je)- (-31.09)	11
ta-na-ra-te-u-ti-nu	tanarateutinu	aðai(je)	-33.5128	aðai(je) (-33.51); awaxai(je)- (-34.29); a(i)-(di) (-34.46)	13
tu-me-i	tumei	ai	-10.5162	ai (-10.52); ete/i- (-11.54); ẽne/i- (-11.54)	5
tu-ru-sa	turusa	ax-	-17.4814	ax- (-17.48); ad- (-17.48); ada- (-17.60)	6
u-na-ka	unaka	=be	-17.6191	=be (-17.62); =ti (-17.62); =pe (-17.62)	5
u-na-ka-na	unakana	=pe	-23.9944	=pe (-23.99); =be (-23.99); =ti (-23.99)	7
u-na-ka-na-si	unakanasi	(†)pẽnẽ	-30.2891	(†)pẽnẽ (-30.29); ux(i)- (-30.36); =mẽ (-30.52)	9
u-na-ru-ka-ja-si	unarukajasi	(†)pẽnẽ	-36.2709	(†)pẽnẽ (-36.27); ux(i)- (-36.36); =we / =uwe (-36.73)	11
u-na-ru-ka-na-si	unarukanasi	(†)pẽnẽ	-36.2709	(†)pẽnẽ (-36.27); ux(i)- (-36.36); =we / =uwe (-36.73)	11
u-na-ru-ka-na-ti	unarukanati	(†)pẽnẽ	-32.695	(†)pẽnẽ (-32.70); =we / =uwe (-32.78); eb(e) (-33.56)	11
u-ti-nu	utinu	ada-	-14.6175	ada- (-14.62); ax- (-14.76); ad- (-14.76)	5
*56-ni-wi	Φniwi	Jaɲ	-14.8093	Jaɲ (-14.81); =ti (-15.03); =pe (-15.03)	5
