linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-*301-wa-ja-s	iΘwajas	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
i-*301-wa-ja-se	iΘwajase	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
i-*301-wa-ja-se-k	iΘwajasek	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
i-*301-wa-ja-se-ka	iΘwajaseka	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
i-*301-wa-ja-t	iΘwajat	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒈪𒋫𒀭𒉌 (-18.37)	7
i-*301-wa-ja-tu	iΘwajatu	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒄩𒀜𒋾 (-21.21)	8
i-*301-wa-ja-tu-r	iΘwajatur	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
i-*301-wa-ja-tu-ru	iΘwajaturu	itut	-23.7771	itut (-23.78); neːpis (-25.20); patas (-25.51)	10
ja-a-di	jaadi	𒀀𒀝𒉌𒅖	-13.1999	𒀀𒀝𒉌𒅖 (-13.20); 𒈪𒋫𒀭𒉌 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
ja-a-di-k	jaadik	𒌷𒄩𒀜𒋾	-15.6764	𒌷𒄩𒀜𒋾 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
ja-a-di-ki	jaadiki	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒆷𒊍𒉺 (-18.37)	7
ja-a-di-ki-t	jaadikit	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
ja-a-di-ki-te	jaadikite	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
ja-a-di-ki-te-s	jaadikites	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
ja-a-ja	jaaja	eːʃ	-10.5557	eːʃ (-10.56); xuːʃ (-11.64); aʃ (-11.89)	5
ja-di-k	jadik	𒀀𒀝𒉌𒅖	-13.1999	𒀀𒀝𒉌𒅖 (-13.20); 𒈪𒋫𒀭𒉌 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
ja-di-ki	jadiki	𒌷𒄩𒀜𒋾	-15.6764	𒌷𒄩𒀜𒋾 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
ja-di-ki-t	jadikit	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒆷𒊍𒉺 (-18.37)	7
