linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-ke-ta-na-i-*301-t	iketanaiΘt	ai	-28.0451	ai (-28.05); epi (-29.53); apa (-29.53)	10
i-ki-te	ikite	ai	-10.5135	ai (-10.51); apa (-13.19); epi (-13.19)	5
i-ki-te-s	ikites	ai	-14.0198	ai (-14.02); hadiwe (-14.54); apa (-16.67)	6
i-ki-te-si	ikitesi	hadiwe	-11.1714	hadiwe (-11.17); ai (-16.43); dazimas (-16.69)	7
i-ki-te-si-r	ikitesir	hadiwe	-14.6786	hadiwe (-14.68); dazimas (-19.51); tabara (-19.52)	8
i-ki-te-si-ra	ikitesira	hadiwe	-18.1858	hadiwe (-18.19); tabara (-22.37); tabaras (-22.38)	9
i-ki-te-t	ikitet	ai	-14.0198	ai (-14.02); hadiwe (-16.52); apa (-16.67)	6
i-ki-te-te	ikitete	ai	-17.5262	ai (-17.53); hadiwe (-19.83); apa (-20.15)	7
i-ki-te-te-r	ikiteter	ai	-21.0325	ai (-21.03); hadiwe (-23.17); aran (-23.43)	8
i-ki-te-te-re	ikitetere	ai	-24.5388	ai (-24.54); aran (-26.40); hadiwe (-26.53)	9
i-ki-te-te-re-p	ikiteterep	dazimas	-26.7	dazimas (-26.70); dekias (-27.90); ai (-28.05)	10
i-ki-tu	ikitu	ai	-10.5135	ai (-10.51); apa (-13.19); epi (-13.19)	5
i-ki-tu-j	ikituj	ai	-14.0198	ai (-14.02); hadiwe (-16.52); apa (-16.67)	6
i-ki-tu-ja	ikituja	ai	-17.5262	ai (-17.53); hadiwe (-19.83); apa (-20.15)	7
i-ki-tu-ja-s	ikitujas	ai	-21.0325	ai (-21.03); hadiwe (-21.49); dazimas (-23.29)	8
i-na-i-d	inaid	ai	-10.5135	ai (-10.51); epi (-12.83); apa (-12.83)	5
i-na-i-da	inaida	ai	-14.0198	ai (-14.02); epi (-16.32); apa (-16.32)	6
i-na-i-da-j	inaidaj	ai	-17.5262	ai (-17.53); epi (-19.81); apa (-19.81)	7
i-na-i-da-ja	inaidaja	ai	-21.0325	ai (-21.03); epi (-23.29); apa (-23.29)	8
i-na-i-da-ja-s	inaidajas	ai	-24.5388	ai (-24.54); apa (-26.78); epi (-26.78)	9
i-na-ja	inaja	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-na-ja-r	inajar	aran	-17.4678	aran (-17.47); ai (-19.07); epi (-19.15)	6
i-na-ja-re	inajare	aran	-20.281	aran (-20.28); ai (-22.45); epi (-22.49)	7
i-na-ja-re-t	inajaret	aran	-23.3732	aran (-23.37); ai (-25.84); epi (-25.85)	8
i-na-ja-re-ta	inajareta	aran	-26.5812	aran (-26.58); epi (-29.22); apa (-29.22)	9
i-na-ma	inama	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-na-ma-i	inamai	ai	-14.0198	ai (-14.02); epi (-15.85); apa (-15.85)	6
i-na-ma-i-n	inamain	ai	-17.5262	ai (-17.53); epi (-19.35); apa (-19.35)	7
i-na-ma-i-na	inamaina	ai	-21.0325	ai (-21.03); epi (-22.85); apa (-22.85)	8
i-na-ma-i-na-j	inamainaj	ai	-24.5388	ai (-24.54); epi (-26.34); apa (-26.34)	9
i-na-ma-i-na-ja	inamainaja	ai	-28.0451	ai (-28.05); epi (-29.84); apa (-29.84)	10
