linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-i-*301-wa-ja-ja-d	aiΘwajajad	Hutauθaː	-25.8772	Hutauθaː (-25.88); ɡaiθaː (-27.26); θatam (-27.36)	10
a-i-*301-wa-ja-ja-i	aiΘwajajai	Hutauθaː	-25.877	Hutauθaː (-25.88); ɡaiθaː (-27.26); aθaⁿɡaʰ (-27.88)	10
a-i-*301-wa-ja-ja-j	aiΘwajajaj	Hutauθaː	-25.8539	Hutauθaː (-25.85); ɡaiθaː (-27.25); aθaⁿɡaʰ (-27.88)	10
a-i-*301-wa-ja-ja-s	aiΘwajajas	Hutauθaː	-25.877	Hutauθaː (-25.88); ɡaiθaː (-27.26); aθaⁿɡaʰ (-27.88)	10
a-i-*301-wa-ja-s	aiΘwajas	Hutauθaː	-22.0907	Hutauθaː (-22.09); ɡaiθaː (-22.62); aθaga (-22.84)	8
a-i-*301-wa-ja-se	aiΘwajase	Maːhiʃ	-23.5631	Maːhiʃ (-23.56); ɡaːuʃ (-24.51); Hutauθaː (-24.53)	9
a-i-*301-wa-ja-se-k	aiΘwajasek	-ika	-25.8578	-ika (-25.86); araika (-26.69); Maːhiʃ (-27.07)	10
a-i-*301-wa-ja-t	aiΘwajat	Hutauθaː	-22.1059	Hutauθaː (-22.11); ɡaiθaː (-22.63); jaθaː (-23.13)	8
a-i-*301-wa-ja-tu	aiΘwajatu	Hutauθaː	-24.9343	Hutauθaː (-24.93); ɡaiθaː (-25.47); jaθaː (-25.97)	9
a-i-*301-wa-ja-tu-r	aiΘwajatur	Hutauθaː	-28.0297	Hutauθaː (-28.03); ɡaiθaː (-28.56); aθaⁿɡaʰ (-29.01)	10
a-ja-a-d	ajaad	θatam	-10.8836	θatam (-10.88); aθaga (-12.49); adam (-12.83)	5
a-ja-a-di	ajaadi	aiva	-12.8458	aiva (-12.85); θahma (-14.10); θatam (-14.39)	6
a-ja-a-di-k	ajaadik	aiva	-15.6673	aiva (-15.67); θahma (-16.93); aθaⁿɡaʰ (-17.32)	7
a-ja-a-di-ki	ajaadiki	aiva	-18.7708	aiva (-18.77); aθaⁿɡaʰ (-19.86); θahma (-20.02)	8
a-ja-a-di-ki-t	ajaadikit	aiva	-22.2746	aiva (-22.27); aθaⁿɡaʰ (-22.58); apamaː (-23.45)	9
a-ja-a-di-ki-te	ajaadikite	buːmiʃ	-25.3641	buːmiʃ (-25.36); aiva (-25.49); aθaⁿɡaʰ (-25.60)	10
a-ja-a-j	ajaaj	aθaga	-12.4788	aθaga (-12.48); aθaⁿɡaʰ (-13.16); jaθaː (-13.49)	5
a-ja-a-ja	ajaaja	aθaⁿɡaʰ	-15.0111	aθaⁿɡaʰ (-15.01); aθaga (-15.11); daθa (-16.28)	6
a-ja-di	ajadi	aiva	-10.022	aiva (-10.02); θahma (-11.45); θatam (-12.30)	5
a-ja-di-k	ajadik	aiva	-12.8426	aiva (-12.84); θahma (-14.25); aθaⁿɡaʰ (-15.02)	6
a-ja-di-ki	ajadiki	aiva	-15.9452	aiva (-15.95); aθaⁿɡaʰ (-17.32); θahma (-17.33)	7
a-ja-di-ki-t	ajadikit	aiva	-19.4487	aiva (-19.45); aθaⁿɡaʰ (-19.87); apamaː (-20.71)	8
a-ja-di-ki-tu	ajadikitu	aθaⁿɡaʰ	-22.8329	aθaⁿɡaʰ (-22.83); aiva (-22.95); avadaː (-23.80)	9
a-ja-di-ki-tu-j	ajadikituj	aθaⁿɡaʰ	-25.9208	aθaⁿɡaʰ (-25.92); aiva (-26.17); avadaː (-26.90)	10
a-ja-i-n	ajain	aθaga	-12.4747	aθaga (-12.47); aθaⁿɡaʰ (-13.16); jaθaː (-13.51)	5
a-ja-i-n-w	ajainw	aθaⁿɡaʰ	-15.027	aθaⁿɡaʰ (-15.03); aθaga (-15.85); jaθaː (-16.34)	6
a-ja-i-nwa	ajainwa	aθaⁿɡaʰ	-17.7252	aθaⁿɡaʰ (-17.73); aθaga (-18.55); jaθaː (-19.44)	7
a-ja-i-nwa-z	ajainwaz	aθaⁿɡaʰ	-20.179	aθaⁿɡaʰ (-20.18); aθaga (-21.48); jaθaː (-22.58)	8
a-ja-i-nwa-za	ajainwaza	aθaⁿɡaʰ	-22.8024	aθaⁿɡaʰ (-22.80); aθaga (-24.54); θaːjakaː (-25.68)	9
a-ja-i-nwa-za-*56	ajainwazaΦ	aθaⁿɡaʰ	-25.576	aθaⁿɡaʰ (-25.58); θaːtij (-26.98); aθaga (-27.65)	10
a-ja-ja	ajaja	aθaga	-12.242	aθaga (-12.24); aθaⁿɡaʰ (-13.14); daθa (-13.18)	5
a-ja-ja-a	ajajaa	aθaga	-14.8313	aθaga (-14.83); aθaⁿɡaʰ (-14.98); jaθaː (-15.70)	6
a-ja-ja-d	ajajad	θatam	-13.3579	θatam (-13.36); aθaga (-14.84); aθaⁿɡaʰ (-14.98)	6
a-ja-ja-di	ajajadi	aiva	-15.8467	aiva (-15.85); θahma (-16.80); θatam (-16.86)	7
a-ja-ja-di-k	ajajadik	aiva	-18.669	aiva (-18.67); aθaⁿɡaʰ (-19.58); θahma (-19.63)	8
a-ja-ja-di-ki	ajajadiki	aiva	-21.7731	aiva (-21.77); aθaⁿɡaʰ (-22.16); θahma (-22.72)	9
a-ja-ja-di-ki-t	ajajadikit	aθaⁿɡaʰ	-24.887	aθaⁿɡaʰ (-24.89); aiva (-25.28); θahma (-26.23)	10
a-ja-ja-i	ajajai	aθaga	-14.8313	aθaga (-14.83); aθaⁿɡaʰ (-14.98); jaθaː (-15.70)	6
a-ja-ja-i-n	ajajain	aθaⁿɡaʰ	-17.1588	aθaⁿɡaʰ (-17.16); aθaga (-17.61); ɡaiθaː (-18.21)	7
a-ja-ja-i-n-w	ajajainw	aθaⁿɡaʰ	-19.5765	aθaⁿɡaʰ (-19.58); aθaga (-21.02); ɡaiθaː (-21.04)	8
a-ja-ja-i-nwa	ajajainwa	aθaⁿɡaʰ	-22.4585	aθaⁿɡaʰ (-22.46); aθaga (-23.84); ɡaiθaː (-24.15)	9
a-ja-ja-i-nwa-z	ajajainwaz	aθaⁿɡaʰ	-25.157	aθaⁿɡaʰ (-25.16); aθaga (-26.85); ɡaiθaː (-27.29)	10
a-ja-ja-j	ajajaj	aθaga	-14.8298	aθaga (-14.83); aθaⁿɡaʰ (-14.98); jaθaː (-15.70)	6
a-ja-ja-ja	ajajaja	aθaⁿɡaʰ	-17.1578	aθaⁿɡaʰ (-17.16); aθaga (-17.55); Hutauθaː (-18.09)	7
a-ja-ja-s	ajajas	aθaga	-14.8313	aθaga (-14.83); aθaⁿɡaʰ (-14.98); jaθaː (-15.70)	6
a-ja-ja-sa	ajajasa	aθaⁿɡaʰ	-17.1591	aθaⁿɡaʰ (-17.16); aθaga (-17.61); ɡaiθaː (-18.21)	7
a-ja-ja-sa-s	ajajasas	aθaⁿɡaʰ	-19.5709	aθaⁿɡaʰ (-19.57); aθaga (-20.53); ɡaiθaː (-21.04)	8
a-ja-ja-sa-sa	ajajasasa	aθaⁿɡaʰ	-22.1581	aθaⁿɡaʰ (-22.16); aθaga (-23.54); ɡaiθaː (-24.05)	9
a-ja-ja-sa-sa-r	ajajasasar	aθaⁿɡaʰ	-24.8777	aθaⁿɡaʰ (-24.88); aθaga (-26.61); Hutauθaː (-27.15)	10
a-ja-ja-w	ajajaw	aθaⁿɡaʰ	-15.0048	aθaⁿɡaʰ (-15.00); aθaga (-15.54); jaθaː (-15.71)	6
a-ja-ja-wa	ajajawa	aθaⁿɡaʰ	-17.6137	aθaⁿɡaʰ (-17.61); aθaga (-18.03); ɡaiθaː (-18.60)	7
a-ja-re	ajare	aθaga	-12.4828	aθaga (-12.48); Maːhiʃ (-12.49); ɡaːuʃ (-13.01)	5
a-ja-re-t	ajaret	aθaⁿɡaʰ	-15.0337	aθaⁿɡaʰ (-15.03); aθaga (-15.85); Maːhiʃ (-15.99)	6
a-ja-re-ta	ajareta	-ika	-16.6572	-ika (-16.66); aθaⁿɡaʰ (-17.73); araika (-18.30)	7
a-ja-sa	ajasa	aθaga	-12.4828	aθaga (-12.48); aθaⁿɡaʰ (-13.16); jaθaː (-13.51)	5
a-ja-sa-s	ajasas	aθaⁿɡaʰ	-15.0152	aθaⁿɡaʰ (-15.02); aθaga (-15.28); jaθaː (-16.34)	6
a-ja-sa-sa	ajasasa	aθaⁿɡaʰ	-17.314	aθaⁿɡaʰ (-17.31); aθaga (-18.21); jaθaː (-19.34)	7
a-ja-sa-sa-r	ajasasar	aθaⁿɡaʰ	-19.8604	aθaⁿɡaʰ (-19.86); aθaga (-21.23); jaθaː (-22.44)	8
a-ja-sa-sa-ra	ajasasara	aθaⁿɡaʰ	-22.5674	aθaⁿɡaʰ (-22.57); aθaga (-24.33); θaːjakaː (-25.32)	9
a-ja-sa-sa-ra-m	ajasasaram	θaːtij	-24.1933	θaːtij (-24.19); aθaⁿɡaʰ (-24.93); aːtar (-26.75)	10
a-ja-se	ajase	aθaga	-12.4828	aθaga (-12.48); Maːhiʃ (-12.49); ɡaːuʃ (-13.01)	5
a-ja-se-k	ajasek	-ika	-13.1628	-ika (-13.16); araika (-14.81); aθaⁿɡaʰ (-15.02)	6
a-ja-se-ka	ajaseka	-ika	-15.9843	-ika (-15.98); θaːjakaː (-16.74); aθaⁿɡaʰ (-17.31)	7
a-ja-se-ka-n	ajasekan	-ika	-19.0826	-ika (-19.08); θaːjakaː (-19.18); aθaⁿɡaʰ (-19.86)	8
a-ja-se-ka-na	ajasekana	θaːjakaː	-21.995	θaːjakaː (-22.00); -ika (-22.30); aθaⁿɡaʰ (-22.56)	9
a-ja-se-ka-na-s	ajasekanas	θaːjakaː	-24.9809	θaːjakaː (-24.98); aθaⁿɡaʰ (-25.38); -ika (-25.59)	10
a-ja-tu	ajatu	jaθaː	-13.908	jaθaː (-13.91); aθaⁿɡaʰ (-13.93); AM (-13.95)	5
a-ja-tu-r	ajatur	aθaⁿɡaʰ	-16.1707	aθaⁿɡaʰ (-16.17); aθaga (-16.20); jaθaː (-17.01)	6
a-ja-tu-ru	ajaturu	aθaⁿɡaʰ	-18.1417	aθaⁿɡaʰ (-18.14); aθaga (-19.59); jaθaː (-20.01)	7
a-ja-tu-ru-s	ajaturus	aθaⁿɡaʰ	-20.9353	aθaⁿɡaʰ (-20.94); aθaga (-22.25); jaθaː (-23.18)	8
a-ja-tu-ru-sa	ajaturusa	aθaⁿɡaʰ	-23.547	aθaⁿɡaʰ (-23.55); aθaga (-25.18); jaθaː (-26.33)	9
a-ja-tu-ru-sa-i	ajaturusai	aθaⁿɡaʰ	-26.2722	aθaⁿɡaʰ (-26.27); aθaga (-28.23); θaːjakaː (-29.01)	10
a-ja-wa	ajawa	aθaga	-12.9983	aθaga (-13.00); aθaⁿɡaʰ (-13.86); jaθaː (-13.90)	5
a-ka-na	akana	AM	-13.9506	AM (-13.95); DH (-13.95); aita (-14.73)	5
a-ka-na-s	akanas	AM	-17.0572	AM (-17.06); DH (-17.06); aita (-17.53)	6
a-ka-na-si	akanasi	AM	-20.2315	AM (-20.23); DH (-20.23); aita (-20.44)	7
a-ma-i-n	amain	idaa	-10.0115	idaa (-10.01); idaː (-10.34); araika (-12.21)	5
a-ma-i-na	amaina	idaa	-12.8382	idaa (-12.84); idaː (-13.16); araika (-14.61)	6
a-ma-i-na-j	amainaj	idaa	-15.8408	idaa (-15.84); idaː (-16.16); ɡaiθaː (-16.91)	7
a-ma-i-na-ja	amainaja	daθa	-17.7181	daθa (-17.72); ɡaiθaː (-18.77); idaa (-18.95)	8
a-ma-i-na-ja-r	amainajar	ɡaiθaː	-19.1478	ɡaiθaː (-19.15); jaθaː (-20.52); daθa (-20.54)	9
a-ma-i-na-ja-re	amainajare	ɡaiθaː	-21.5979	ɡaiθaː (-21.60); ɡaːuʃ (-21.92); jaθaː (-22.98)	10
a-ma-na	amana	idaa	-10.0115	idaa (-10.01); idaː (-10.33); araika (-12.21)	5
a-ma-na-d	amanad	adam	-10.9916	adam (-10.99); ijam (-10.99); buːm (-11.29)	6
a-ma-na-da	amanada	adama	-13.5277	adama (-13.53); zana (-14.50); adam (-14.50)	7
a-ma-na-da-w	amanadaw	adama	-17.024	adama (-17.02); zana (-17.99); ijam (-18.00)	8
a-ma-na-da-wa	amanadawa	adama	-19.8515	adama (-19.85); zana (-20.82); ajadana (-21.20)	9
a-ma-na-da-wa-i	amanadawai	adama	-22.9577	adama (-22.96); zana (-23.93); jaunaija (-23.96)	10
a-ma-si	amasi	idaa	-10.0217	idaa (-10.02); idaː (-10.34); araika (-12.22)	5
a-ma-si-r	amasir	idaa	-12.8459	idaa (-12.85); idaː (-13.16); araika (-14.62)	6
a-ma-si-ru	amasiru	idaː	-16.1663	idaː (-16.17); idaa (-16.35); araika (-17.95)	7
a-ma-si-ru-t	amasirut	idaː	-19.3398	idaː (-19.34); idaa (-19.85); ɡaupaː (-20.99)	8
a-ma-si-ru-te	amasirute	ɡaːuʃ	-20.4492	ɡaːuʃ (-20.45); buːmiʃ (-22.28); idaː (-22.60)	9
a-ma-te	amate	idaː	-10.7261	idaː (-10.73); idaa (-11.06); ɡaːuʃ (-11.32)	5
a-me-i-t	ameit	idaː	-10.3413	idaː (-10.34); idaa (-11.06); -ika (-11.39)	5
a-me-i-ti	ameiti	idaː	-13.3416	idaː (-13.34); idaa (-13.52); -ika (-14.21)	6
a-me-u-n	ameun	idaː	-10.7259	idaː (-10.73); idaa (-11.05); -ika (-11.37)	5
a-me-u-na	ameuna	idaa	-13.5054	idaa (-13.51); idaː (-13.55); -ika (-14.20)	6
a-me-u-na-k	ameunak	idaa	-16.3361	idaa (-16.34); idaː (-16.51); araika (-17.26)	7
a-me-u-na-ka	ameunaka	idaa	-19.3406	idaa (-19.34); idaː (-19.57); araika (-20.20)	8
a-me-u-na-ka-n	ameunakan	idaa	-22.4419	idaa (-22.44); idaː (-22.70); araika (-23.17)	9
a-me-u-na-ka-na	ameunakana	idaa	-25.6161	idaa (-25.62); idaː (-25.89); araika (-26.20)	10
a-me-u-na-r	ameunar	idaa	-16.3361	idaa (-16.34); idaː (-16.51); araika (-17.26)	7
a-me-u-na-ru	ameunaru	idaː	-19.5689	idaː (-19.57); idaa (-19.84); araika (-20.68)	8
a-me-u-na-ru-k	ameunaruk	idaː	-22.7678	idaː (-22.77); idaa (-22.84); araika (-23.53)	9
a-me-u-na-ru-ka	ameunaruka	idaa	-25.9496	idaa (-25.95); idaː (-25.99); araika (-26.51)	10
a-na-da	anada	aiva	-10.0119	aiva (-10.01); asaina (-12.53); adama (-12.62)	5
a-na-da-w	anadaw	aiva	-13.5076	aiva (-13.51); apamaː (-15.44); Apamaː (-15.71)	6
a-na-da-wa	anadawa	aiva	-16.3326	aiva (-16.33); apamaː (-18.26); Apamaː (-18.53)	7
a-na-da-wa-i	anadawai	aiva	-19.4367	aiva (-19.44); apamaː (-21.09); naamaa (-21.32)	8
a-na-da-wa-i-j	anadawaij	aiva	-22.656	aiva (-22.66); avadaː (-23.96); naamaa (-24.04)	9
a-na-da-wa-i-ja	anadawaija	aivatʃadaθa	-25.7838	aivatʃadaθa (-25.78); aiva (-25.94); avadaː (-26.70)	10
a-na-i-*301	anaiΘ	AM	-13.9506	AM (-13.95); DH (-13.95); idaː (-15.18)	5
a-na-i-*301-t	anaiΘt	AM	-17.0572	AM (-17.06); DH (-17.06); utaː (-18.18)	6
a-na-i-*301-ti	anaiΘti	AM	-20.2315	AM (-20.23); DH (-20.23); aita (-21.24)	7
a-na-i-*301-ti-j	anaiΘtij	AM	-23.4538	AM (-23.45); DH (-23.45); aiva (-24.09)	8
a-na-i-*301-ti-ja	anaiΘtija	Hutauθaː	-26.2418	Hutauθaː (-26.24); daθa (-26.64); AM (-26.71)	9
a-na-i-*301-ti-ja-s	anaiΘtijas	Hutauθaː	-26.6524	Hutauθaː (-26.65); ɡaiθaː (-28.24); aθaga (-29.32)	10
a-na-i-*301-u	anaiΘu	AM	-17.0572	AM (-17.06); DH (-17.06); utaː (-18.18)	6
a-na-i-*301-u-t	anaiΘut	DH	-20.2315	DH (-20.23); AM (-20.23); idaː (-21.33)	7
a-na-i-*301-u-ti	anaiΘuti	AM	-23.4538	AM (-23.45); DH (-23.45); utaː (-24.54)	8
a-na-i-*301-u-ti-n	anaiΘutin	AM	-26.712	AM (-26.71); DH (-26.71); aita (-27.43)	9
a-na-i-*301-u-ti-nu	anaiΘutinu	DH	-29.9981	DH (-30.00); AM (-30.00); idaː (-30.65)	10
